parent_topic_family,subtopic_id,keywords_pt,example_number,review_text_pt,review_text_en,subtopic_label_en
Mixed order and fulfilment experience,11,"cancelamento, compra, cancelar, cancelei, solicitei cancelamento, cancelamento compra, cancelado, solicitei",2,Devolvi o produto é solicitei o cancelamento da Compra.,Return the product is requested to cancel the purchase.,"Cancellation, refund or payment issue"
Mixed order and fulfilment experience,11,"cancelamento, compra, cancelar, cancelei, solicitei cancelamento, cancelamento compra, cancelado, solicitei",3,Solicitei cancelamento da compra. Prazo de entrega muito demorado,I asked for a cancellation of the purchase. delivery time too late,"Cancellation, refund or payment issue"
Mixed order and fulfilment experience,12,"produto entregue, entregue produto, entregue, produto, chegou produto, produto produto, chegou, produto chegou",1,Produto não foi entregue O produto não foi entregue,Product was not delivered The product was not delivered,Non-receipt reported at review time
Mixed order and fulfilment experience,12,"produto entregue, entregue produto, entregue, produto, chegou produto, produto produto, chegou, produto chegou",2,Produto não entregue Até o momento o produto não foi entregue,Product not delivered Until the moment the product was not delivered,Non-receipt reported at review time
Mixed order and fulfilment experience,12,"produto entregue, entregue produto, entregue, produto, chegou produto, produto produto, chegou, produto chegou",3,Produto não entregue Produto não entregue,Product not delivered Product not delivered,Non-receipt reported at review time
Mixed order and fulfilment experience,13,"pedido, recebi pedido, pedido entregue, recebi, encomenda, at, entregue, recebi encomenda",1,"nao recebi meu pedido, e agora o que faço","I didn't receive my request, and now what I do",Non-receipt reported at review time
Mixed order and fulfilment experience,13,"pedido, recebi pedido, pedido entregue, recebi, encomenda, at, entregue, recebi encomenda",2,Não recebi o pedido,I didn't receive the request,Non-receipt reported at review time
Mixed order and fulfilment experience,13,"pedido, recebi pedido, pedido entregue, recebi, encomenda, at, entregue, recebi encomenda",3,Não recebi o pedido,I didn't receive the request,Non-receipt reported at review time
Mixed order and fulfilment experience,14,"caixa, amassada, embalagem, veio, caixa veio, caixa produto, embalado, produto veio",1,Embalagem Não veio em uma caixa apenas em uma embalagem...,Packaging Not arrived in a box only in a pack...,"Product quality, defect or damage"
Mixed order and fulfilment experience,14,"caixa, amassada, embalagem, veio, caixa veio, caixa produto, embalado, produto veio",2,caixa veio aberta!,The box is open!,"Product quality, defect or damage"
Mixed order and fulfilment experience,14,"caixa, amassada, embalagem, veio, caixa veio, caixa produto, embalado, produto veio",3,Ruim O produto chegou com a caixa amassada,Ruim The product came with the packed box,"Product quality, defect or damage"
Mixed order and fulfilment experience,15,"errado, produto errado, diferente, recebi produto, comprei, produto, modelo, veio",1,Recebi produto errado,Received an invalid product,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,15,"errado, produto errado, diferente, recebi produto, comprei, produto, modelo, veio",2,Recebi o produto errado!!!,Get the wrong product!!!,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,15,"errado, produto errado, diferente, recebi produto, comprei, produto, modelo, veio",3,Recebi o produto errado,Get the wrong product,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,16,"mochila, bolsa, linda, bolsas, tima, amei, carteira, lindas",1,Linda bolsa,Linda,Positive or mixed product feedback
Mixed order and fulfilment experience,16,"mochila, bolsa, linda, bolsas, tima, amei, carteira, lindas",2,"A mochila é linda e de material de ótima qualidade, meu filho amou","The mochilla is beautiful and of excellent quality material, my son loves",Positive or mixed product feedback
Mixed order and fulfilment experience,16,"mochila, bolsa, linda, bolsas, tima, amei, carteira, lindas",3,Pelo valor a mochila é boa,The mouse value is good,Positive or mixed product feedback
Mixed order and fulfilment experience,17,"foto, diferente, imagem, foto produto, produto foto, diferente foto, fotos, produto",1,Bem diferente da foto,Well different from the photo,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,17,"foto, diferente, imagem, foto produto, produto foto, diferente foto, fotos, produto",2,Produto diferente da foto Produto diferente da foto.,Product different from photo Product different from photo.,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,17,"foto, diferente, imagem, foto produto, produto foto, diferente foto, fotos, produto",3,Não é como a foto!,It's not like the photo!,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,18,"propaganda, propaganda enganosa, enganosa, original, diferente, falsificado, rplica, produto",1,"Propaganda enganosa No anúncio diz 240 capsulas mas só recebi 120, caracterizando assim crime de propaganda enganosa de acordo com o artigo 37 do código de defesa do consumidor","False propaganda The announcement says 240 capsules but only received 120, thereby characterizing misleading propaganda crime in accordance with Article 37 of the Consumer Protection Code","Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,18,"propaganda, propaganda enganosa, enganosa, original, diferente, falsificado, rplica, produto",2,Verdadeira propaganda enganosa. Produto de péssima qualidade. Réplica horrível.,True false propaganda. Good quality product. Terrible replication.,"Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,18,"propaganda, propaganda enganosa, enganosa, original, diferente, falsificado, rplica, produto",3,"Propaganda enganosa, comprei porque na descrição estava claro que ela flutuava, porém ela não FLUTUA. A faca afunda. PÉSSIMA, PROPAGANDA ENGANOSA","False propaganda, I understand, because in the description it was clear that she was flying, but she didn't fly. The face is deep.","Wrong, incompatible or mismatched product"
Mixed order and fulfilment experience,19,"defeito, defeito produto, produto veio, errado, veio defeito, produto defeito, errado produto, veio",1,Esse produto veio com defeito,This product came by default,"Product quality, defect or damage"
Mixed order and fulfilment experience,19,"defeito, defeito produto, produto veio, errado, veio defeito, produto defeito, errado produto, veio",2,Produto veio com defeito,Product came by default,"Product quality, defect or damage"
Mixed order and fulfilment experience,19,"defeito, defeito produto, produto veio, errado, veio defeito, produto defeito, errado produto, veio",3,O produto veio com defeito !,The product came by default!,"Product quality, defect or damage"
Mixed order and fulfilment experience,20,"qualidade, qualidade produto, pssima qualidade, baixa, pssima, baixa qualidade, produto pssima, produto baixa",1,Produto de péssima qualidade,Product of bad quality,"Product quality, defect or damage"
Mixed order and fulfilment experience,20,"qualidade, qualidade produto, pssima qualidade, baixa, pssima, baixa qualidade, produto pssima, produto baixa",2,Péssima qualidade do produto,Poor quality of the product,"Product quality, defect or damage"
Mixed order and fulfilment experience,20,"qualidade, qualidade produto, pssima qualidade, baixa, pssima, baixa qualidade, produto pssima, produto baixa",3,má qualidade do produto,bad quality of the product,"Product quality, defect or damage"
Mixed order and fulfilment experience,21,"unidades, unidade, comprei unidades, recebi unidade, unidades recebi, comprei, recebi, unidade comprei",1,"Comprei 2 unidades,porém, só recebi 1 unidade do produto.","I bought 2 units, but I only got 1 unit of the product.",Incomplete order or missing item
Mixed order and fulfilment experience,21,"unidades, unidade, comprei unidades, recebi unidade, unidades recebi, comprei, recebi, unidade comprei",2,Comprei 2 unidades e recebi apenas 1 unidade!!,I bought 2 units and got only 1 units!!,Incomplete order or missing item
Mixed order and fulfilment experience,21,"unidades, unidade, comprei unidades, recebi unidade, unidades recebi, comprei, recebi, unidade comprei",3,Eu comprei duas unidades e recebi uma unidade.,I bought two units and I got one.,Incomplete order or missing item
Mixed order and fulfilment experience,22,"demorou, demora, chegar, entrega, produto demorou, prazo, demorou chegar, demora entrega",1,Produto demorou muito para chegar,Product too long to come,Late or slow delivery
Mixed order and fulfilment experience,22,"demorou, demora, chegar, entrega, produto demorou, prazo, demorou chegar, demora entrega",2,O produto demorou muito p chegar.,The product lasted a long time.,Late or slow delivery
Mixed order and fulfilment experience,22,"demorou, demora, chegar, entrega, produto demorou, prazo, demorou chegar, demora entrega",3,O produto demorou muito para chegar,The product lasted a long time to arrive,Late or slow delivery
Mixed order and fulfilment experience,23,"melhor, esperava, produto melhor, qualidade, poderia, melhor esperava, esperava produto, poderia melhor",1,a qualidade do produto é melhor do que eu esperava.,the quality of the product is better than I expected.,"Product quality, defect or damage"
Mixed order and fulfilment experience,23,"melhor, esperava, produto melhor, qualidade, poderia, melhor esperava, esperava produto, poderia melhor",2,Eu esperava q o produto fosse um pouco melhor.,I was hoping q the product was a little better.,"Product quality, defect or damage"
Mixed order and fulfilment experience,23,"melhor, esperava, produto melhor, qualidade, poderia, melhor esperava, esperava produto, poderia melhor",3,Pelo valor dele eu esperava um produto melhor.,For his value I expected a better product.,"Product quality, defect or damage"
Mixed order and fulfilment experience,24,"kit, kits, comprei kits, cpsulas, recebi kit, comprei, comprei kit, recebi",1,"Boa noite. ... quando fiz o pedido era um kit com 3 , pedi 2 unidades do kit , recebi apenas 2 unidades. .. e não os kits.","Good night. ...when I made the request was a kit with 3 , I asked 2 kit units , I only received 2 units . ..and not the kits.",Incomplete order or missing item
Mixed order and fulfilment experience,24,"kit, kits, comprei kits, cpsulas, recebi kit, comprei, comprei kit, recebi",2,"Comprei dois kits de almofadas e só foi entregue apenas um kit de almofada, está faltando o outro kit e niguem me respondeu até agora se vão me entregar o outro kit","I bought two kits of amofadas and it was only delivered one kit of amofada, it's missing the other kit and nigga answered me until now if you're going to give me the other kit",Incomplete order or missing item
Mixed order and fulfilment experience,24,"kit, kits, comprei kits, cpsulas, recebi kit, comprei, comprei kit, recebi",3,Comprei dois kits e recebi apenas 1,I bought two kits and I only got 1,Incomplete order or missing item
Mixed order and fulfilment experience,25,"comprei, veio comprei, recebi comprei, casal, so, veio, recebi, comprei lenol",1,Comprei dois itens e recebi só um.,I bought two items and only got one.,Incomplete order or missing item
Mixed order and fulfilment experience,25,"comprei, veio comprei, recebi comprei, casal, so, veio, recebi, comprei lenol",2,so to chateada pq comprei 2 tenis ja veio a fatura e eu ñ recebi o tenis ok recebi foi um emeil dizendo que estao com dificudades para mandar cendo guando comprei tinha no estoque,so your chateau pq buy 2 tennis already came the bill and I got the tennis ok receive was an e-mail saying I'm having trouble sending when shopping had in stock,Incomplete order or missing item
Mixed order and fulfilment experience,25,"comprei, veio comprei, recebi comprei, casal, so, veio, recebi, comprei lenol",3,Comprei dois lençóis e só recebi um!,I bought two lentios and I only got one!,Incomplete order or missing item
Mixed order and fulfilment experience,26,"fiscal, nota fiscal, nota, fiscal produto, recebi nota, veio nota, fiscal veio, veio",1,Não veio a nota fiscal,I didn't see the tax note.,Tax invoice or documentation issue
Mixed order and fulfilment experience,26,"fiscal, nota fiscal, nota, fiscal produto, recebi nota, veio nota, fiscal veio, veio",2,Só recebi a nota fiscal O produto não veio,I only received the tax note The product didn't come,Tax invoice or documentation issue
Mixed order and fulfilment experience,26,"fiscal, nota fiscal, nota, fiscal produto, recebi nota, veio nota, fiscal veio, veio",3,"Não vem com nota fiscal, porquê???","They don't come with a tax note, why?",Tax invoice or documentation issue
Mixed order and fulfilment experience,27,"plstico, tecido, frgil, achei, fino, material, resistente, bonito",1,Achei muito fino o tecido,I've got a lot of up to the tissue.,"Product quality, defect or damage"
Mixed order and fulfilment experience,27,"plstico, tecido, frgil, achei, fino, material, resistente, bonito",2,"Não recomendo. Achei muito fino o tecido a costura e muito simples, sei lá parece feito em casa, a almofada que veio estava com uma linha grande no acabamento, tive que cortar. Não gostei.","I found the fabric very tight and very simple, I know it looks like it was made at home, the fragrance that came with a big line at the end, I had to cut.","Product quality, defect or damage"
Mixed order and fulfilment experience,27,"plstico, tecido, frgil, achei, fino, material, resistente, bonito",3,Tudo certo.Eu pensei q o tecido seria mais groço achei o tecido muito fino ..,All right.I thought q the fabric would be nicer I found the fabric very fine..,"Product quality, defect or damage"
Mixed order and fulfilment experience,28,"aguardando, esperando, vou, gostaria vou, aguardo, chegar, aguardando entrega, gostaria",1,Estou aguardando.,I'm waiting.,Non-receipt reported at review time
Mixed order and fulfilment experience,28,"aguardando, esperando, vou, gostaria vou, aguardo, chegar, aguardando entrega, gostaria",2,estou aguardando,Waiting,Non-receipt reported at review time
Mixed order and fulfilment experience,28,"aguardando, esperando, vou, gostaria vou, aguardo, chegar, aguardando entrega, gostaria",3,Estou aguardando,I'm waiting,Non-receipt reported at review time
Mixed order and fulfilment experience,29,"gostei, gostei produto, qualidade, gostei qualidade, produto gostei, qualidade produto, preo, achei",1,Não gostei do produto,I didn't like the product.,"Product quality, defect or damage"
Mixed order and fulfilment experience,29,"gostei, gostei produto, qualidade, gostei qualidade, produto gostei, qualidade produto, preo, achei",2,Não gostei do produto,I didn't like the product.,"Product quality, defect or damage"
Mixed order and fulfilment experience,29,"gostei, gostei produto, qualidade, gostei qualidade, produto gostei, qualidade produto, preo, achei",3,não gostei do produto,I didn't like the product,"Product quality, defect or damage"
Mixed order and fulfilment experience,30,"luminrias, luminria, comprei luminrias, comprei, lmpada, luminrias recebi, lente, recebi",1,"Lente errada O mesmo fornecedor comprei 4 caixas de lente. Além de não cobrar um único frete para cada uma (ou seja, paguei 4x o frete) todas chegaram juntas em pacotes semelhantes mas uma veio o produto errado",Error Lent The same supplier bought 4 Lent Boxes. Besides not covering a single burden for each (i.e. I paid 4x the burden) all arrived together in similar packages but one came the wrong product,Incomplete order or missing item
Mixed order and fulfilment experience,30,"luminrias, luminria, comprei luminrias, comprei, lmpada, luminrias recebi, lente, recebi",2,Comprei 2 luminárias e só recebi 1,I buy 2 lamps and I only get 1,Incomplete order or missing item
Mixed order and fulfilment experience,30,"luminrias, luminria, comprei luminrias, comprei, lmpada, luminrias recebi, lente, recebi",3,"PEDIDO INCOMPLETO Cobrado duas caixas de lente, com a nota fiscal e chegou apenas uma das caixas , utilizo lentes de grau diferente . aconteceu erro na separação do produto e empresa não entrou em contato até o momento","PEDIO INCOMPLET Two boxes of interest, with the tax note and only one of the boxes came , use different grades . an error occurred in the product separation and company did not contact until now",Incomplete order or missing item
Mixed order and fulfilment experience,31,"carto, carto crdito, crdito, estorno, estorno carto, compra, fatura, fatura carto",1,"não recebi o produto e estou aguardando o estorno do valor do meu cartão de credito, ou um vale compras, aguardo retorno","I didn't receive the product and I'm waiting for the foreign value of my credit card, or a purchase value, waiting back","Cancellation, refund or payment issue"
Mixed order and fulfilment experience,31,"carto, carto crdito, crdito, estorno, estorno carto, compra, fatura, fatura carto",2,O pedido consta de 1 cartucho preto 60xL e outro colorido 60XL. O colorido nào chegou.O pagamento foi feito integral e ja consta fa fatura de meu cartao de credito.,The request consists of 1 cartridge close to 60xL and another colored 60XL. Any colour has arrived.The payment was made in full and already has been invoiced by my credit card.,"Cancellation, refund or payment issue"
Mixed order and fulfilment experience,31,"carto, carto crdito, crdito, estorno, estorno carto, compra, fatura, fatura carto",3,"Não recebi o produto, e o estorno no cartão só foi feito dois meses depois.","I didn't receive the product, and the outside of the card was only made two months later.","Cancellation, refund or payment issue"
Mixed order and fulfilment experience,32,"recebi, recebi produto, recebi mercadoria, recebi recebi, produto recebi, produto, mercadoria, comprei recebi",1,Não recebi o produto!,I didn't get the product!,Non-receipt reported at review time
Mixed order and fulfilment experience,32,"recebi, recebi produto, recebi mercadoria, recebi recebi, produto recebi, produto, mercadoria, comprei recebi",2,Não recebi Não estou com o produto em mãos!,I didn't get it. I'm not with the product in my hands!,Non-receipt reported at review time
Mixed order and fulfilment experience,32,"recebi, recebi produto, recebi mercadoria, recebi recebi, produto recebi, produto, mercadoria, comprei recebi",3,Não recebi o produto!,I didn't get the product!,Non-receipt reported at review time
Mixed order and fulfilment experience,33,"quebrado, quebrado produto, quebrada, danificado, veio quebrado, veio, chegou quebrada, chegou quebrado",1,Produto quebrado Produto quebrado,Product broken Product broken,"Product quality, defect or damage"
Mixed order and fulfilment experience,33,"quebrado, quebrado produto, quebrada, danificado, veio quebrado, veio, chegou quebrada, chegou quebrado",2,Produto veio quebrado,Product has been broken,"Product quality, defect or damage"
Mixed order and fulfilment experience,33,"quebrado, quebrado produto, quebrada, danificado, veio quebrado, veio, chegou quebrada, chegou quebrado",3,o produto veio quebrado,the product has been broken,"Product quality, defect or damage"
Mixed order and fulfilment experience,34,"prazo, prazo entrega, entrega, data, cumpriu prazo, at, satisfao, cumprido",1,Não cumpriu o prazo de entrega!,It didn't work out the delivery time!,Late or slow delivery
Mixed order and fulfilment experience,34,"prazo, prazo entrega, entrega, data, cumpriu prazo, at, satisfao, cumprido",2,Não cumpriu o prazo de entrega.,It didn't meet the delivery deadline.,Late or slow delivery
Mixed order and fulfilment experience,34,"prazo, prazo entrega, entrega, data, cumpriu prazo, at, satisfao, cumprido",3,Não cumpriu com o prazo de entrega,Cannot initialise Evolution's mail component.,Late or slow delivery
Mixed order and fulfilment experience,35,"natal, presente, presente natal, aniversrio, presente aniversrio, filha, criana, natal at",1,Não abrimos ainda. pois é um presente de natal,We haven't opened yet. Because it's a Christmas present.,Not yet evaluated or uncertain receipt
Mixed order and fulfilment experience,35,"natal, presente, presente natal, aniversrio, presente aniversrio, filha, criana, natal at",2,"Só não posso dizer se recebi o produto correto, porque é presente de natal para uma criança, que será aberto somente na ocasião.","I just can't say if I received the right product, because it's present from birth to a child, which will only be opened on the occasion.",Not yet evaluated or uncertain receipt
Mixed order and fulfilment experience,35,"natal, presente, presente natal, aniversrio, presente aniversrio, filha, criana, natal at",3,Não acredito q comprei um presente de Natal em novembro e aminha esposa vai ficar sem o presente de natal por incompetência da logística de vocês Depois q passaram a vender assim por parceiros,I don't believe q I bought a Christmas present in November and my wife will stay without Christmas present because of the incompetence of the logistics of you After q came to sell so by partners,Not yet evaluated or uncertain receipt
Mixed order and fulfilment experience,36,"entregue produto, produto entregue, entregue, produto instalado, instalado, produto, instalado produto, presente produto",1,Ainda nao foi entregue o produto,Product not yet delivered,Non-receipt reported at review time
Mixed order and fulfilment experience,36,"entregue produto, produto entregue, entregue, produto instalado, instalado, produto, instalado produto, presente produto",2,Produto não foi entregue Até hoje o produto não foi entregue.,Product was not delivered Until today the product was not delivered.,Non-receipt reported at review time
Mixed order and fulfilment experience,36,"entregue produto, produto entregue, entregue, produto instalado, instalado, produto, instalado produto, presente produto",3,Produto não entregue O produto ainda não foi entregue.,Product does not deliver The product has not yet been delivered.,Non-receipt reported at review time
Mixed order and fulfilment experience,37,"jogo, jogos, recebi jogo, lenol, jogo americano, jogo lenol, americano, toalhas",1,"Não recebi o pedido completo ,veio faltando 1 jogo de toalhas.Comprei 2 jogos Nota Fiscal 001689. Aguardo solução urgente.Faltou jogo vermelho.Fornecedor Ibitinga Decora.Aguardo solução urgente
recomendo","I didn't get the full request ,way missing 1 game of towels.I bought 2 games Note Fiscal 001689.I look for an emergency solution.Ibitinga Decora.Ibbitinga Decora vendor.I look for an emergency solution I recommend",Incomplete order or missing item
Mixed order and fulfilment experience,37,"jogo, jogos, recebi jogo, lenol, jogo americano, jogo lenol, americano, toalhas",2,"meu pedido não foi entregue até a presente . solicitei 02 jogos de lençois , ok dois jogos de toalha SÓ VEIO UM JOGO. comprei no cartão ja esta incluso na minha fatura.Aguardo posição de outro jogo","my request has not been submitted until now . requested 02 Lenses games , ok two towel games SÉ VEIO A JOGO. I bought this in the card already this even in my bill.About the position of another game",Incomplete order or missing item
Mixed order and fulfilment experience,37,"jogo, jogos, recebi jogo, lenol, jogo americano, jogo lenol, americano, toalhas",3,"Só recebi o jogo de três lençóis , o outro produto não .","I only got the game of three alloys , the other product not .",Incomplete order or missing item
Mixed order and fulfilment experience,38,"som, mp3, fone, ouvido, udio, mp3 player, player, fone ouvido",1,"Você compra um mp3 player, para ouvir suas músicas em mp3, certo? Errado. O produto veio arranhado, não carrega mp3, testei vários cabos, vários pcs e nada. Cobraram 40 reais para algo ruim e quebrado","You buy a mp3 player, to listen to your music in mp3, right? Wrong. The product came up, doesn't load mp3, I tested several cables, several pcs and nothing. They covered 40 reals for something bad and broken","Product quality, defect or damage"
Mixed order and fulfilment experience,38,"som, mp3, fone, ouvido, udio, mp3 player, player, fone ouvido",2,Produto MP3 muito bom MP3 Player muito bom,Product MP3 very good MP3 Player very good,"Product quality, defect or damage"
