topic_id,keywords_pt,example_number,review_text_pt,review_text_en
15,"testei, usei, testar, instalei, aparentemente, teste, vou, testar produto",3,Entrega rápida! Ainda não testei o produto.,
16,"parabns, esto parabns, esto, parabns atendimento, relogio, atendimento, vcs, timo parabns",1,ótimo Questionamento: o Relogio é a corda?,
16,"parabns, esto parabns, esto, parabns atendimento, relogio, atendimento, vcs, timo parabns",2,Bom relogio!,
16,"parabns, esto parabns, esto, parabns atendimento, relogio, atendimento, vcs, timo parabns",3,Relogio Muiuo boa,
17,"exelente, parabens, ruim, blz, espectativas, aprovado, recomendo, recebido",1,Exelente,
17,"exelente, parabens, ruim, blz, espectativas, aprovado, recomendo, recebido",2,exelente,
17,"exelente, parabens, ruim, blz, espectativas, aprovado, recomendo, recebido",3,Exelente,
18,"amei, excelente, produto ok, ok, recomendo, timo, excelente timo, lindo",1,Produto ok Produto ok,
18,"amei, excelente, produto ok, ok, recomendo, timo, excelente timo, lindo",2,Tudo ok! Produto ok! Entrega ok!,
18,"amei, excelente, produto ok, ok, recomendo, timo, excelente timo, lindo",3,"Produto ok Produto ok, entrega ok",
19,"produto recebi, otima, recebi produto, produto otima, recebi, otimo, produto, otimo recebi",1,Não recebi o produto,
19,"produto recebi, otima, recebi produto, produto otima, recebi, otimo, produto, otimo recebi",2,Não recebi o produto,
19,"produto recebi, otima, recebi produto, produto otima, recebi, otimo, produto, otimo recebi",3,Não recebi o produto,
20,"compra, comprar, satisfeita compra, recomendo compra, satisfeita, tima compra, compra recomendo, gostei compra",1,Boa compra,
20,"compra, comprar, satisfeita compra, recomendo compra, satisfeita, tima compra, compra recomendo, gostei compra",2,Boa compra,
20,"compra, comprar, satisfeita compra, recomendo compra, satisfeita, tima compra, compra recomendo, gostei compra",3,Boa compra.,
21,"valeu, , , , , , , ",1,Bom,
21,"valeu, , , , , , , ",2,Valeu,
21,"valeu, , , , , , , ",3,Valeu,
22,"atendimento, servio, excelente atendimento, timo atendimento, atendimento excelente, excelente, atendimento timo, timo servio",1,Muito bom o atendimento,
22,"atendimento, servio, excelente atendimento, timo atendimento, atendimento excelente, excelente, atendimento timo, timo servio",2,Muito bom o atendimento e as informações solicitadas.,
22,"atendimento, servio, excelente atendimento, timo atendimento, atendimento excelente, excelente, atendimento timo, timo servio",3,Excelente Ótimo atendimento,
23,"recomendo recomendo, recomendo, otimo recomendo, recomendo otimo, arrepender, tds, otimo, satisfeita recomendo",1,Recomendo Recomendo,
23,"recomendo recomendo, recomendo, otimo recomendo, recomendo otimo, arrepender, tds, otimo, satisfeita recomendo",2,Recomendo Recomendo,
23,"recomendo recomendo, recomendo, otimo recomendo, recomendo otimo, arrepender, tds, otimo, satisfeita recomendo",3,RECOMENDO RECOMENDO,
24,"timo timo, timo, timo otimo, otimo timo, otimo, , , ",1,Ótimo,
24,"timo timo, timo, timo otimo, otimo timo, otimo, , , ",2,Ótimo,
24,"timo timo, timo, timo otimo, otimo timo, otimo, , , ",3,Ótimo Otimo,
25,"avaliar, recebi, at recebi, opinar, recebi at, ate recebi, at, ate",1,"Não tenho como avaliar, não recebi nada ainda",
25,"avaliar, recebi, at recebi, opinar, recebi at, ate recebi, at, ate",2,"xxx Não recebi, não posso avaliar.",
25,"avaliar, recebi, at recebi, opinar, recebi at, ate recebi, at, ate",3,Ainda não recebi então não posso avaliar,
26,"custo, benefcio, custo benefcio, preo, beneficio, custo beneficio, timo custo, pena",1,Excelente custo beneficio!!!,
26,"custo, benefcio, custo benefcio, preo, beneficio, custo beneficio, timo custo, pena",2,muito bom excelente custo beneficio,
26,"custo, benefcio, custo benefcio, preo, beneficio, custo beneficio, timo custo, pena",3,Custo beneficio excelente.,
27,"rpida, entrega super, entrega, rpida entrega, rapida, entrega rpida, super, rapidez entrega",1,recomendo entrega super rápida,
27,"rpida, entrega super, entrega, rpida entrega, rapida, entrega rpida, super, rapidez entrega",2,"Muito bom Recomendo, entrega super rápida",
27,"rpida, entrega super, entrega, rpida entrega, rapida, entrega rpida, super, rapidez entrega",3,recomendo entrega super rápida,
28,"excelente excelente, excelente, otima, , , , , ",1,Excelente,
28,"excelente excelente, excelente, otima, , , , , ",2,Excelente,
28,"excelente excelente, excelente, otima, , , , , ",3,Excelente,
29,"cortina, cortinas, linda, recebi cortina, bonita, comprei, tecido, veio",1,"Ótimo produto, porém, comprei a cortina com 2,5 de comprimento, mas, a que recebi tem 2,42. Fora isso exclente produto.",
29,"cortina, cortinas, linda, recebi cortina, bonita, comprei, tecido, veio",2,produto cortina nao veio e agora?,
29,"cortina, cortinas, linda, recebi cortina, bonita, comprei, tecido, veio",3,Bela cortina Linda cortina gostei muito.,
30,"cadeira, cadeiras, montar, comprei, parafusos, faltando, veio, veio faltando",1,Minha cadeira veio com a roda qurbrada,
30,"cadeira, cadeiras, montar, comprei, parafusos, faltando, veio, veio faltando",2,boa cadeira boa!,
30,"cadeira, cadeiras, montar, comprei, parafusos, faltando, veio, veio faltando",3,A cadeira tem uma das pernas menor que as outras.,
31,"vendedor, timo vendedor, vendedor recomendo, excelente vendedor, recomendo vendedor, timo, vendedor excelente, atencioso",1,Vendedor Muito bom,
31,"vendedor, timo vendedor, vendedor recomendo, excelente vendedor, recomendo vendedor, timo, vendedor excelente, atencioso",2,bom vendedor,
31,"vendedor, timo vendedor, vendedor recomendo, excelente vendedor, recomendo vendedor, timo, vendedor excelente, atencioso",3,Muito bom Muito bom o vendedor,
32,"timo, timo timo, maravilhoso, timo excelente, timo tima, excelente timo, tima, maravilha",1,Maravilhoso,
32,"timo, timo timo, maravilhoso, timo excelente, timo tima, excelente timo, tima, maravilha",2,maravilhoso,
32,"timo, timo timo, maravilhoso, timo excelente, timo tima, excelente timo, tima, maravilha",3,Maravilhoso,
33,"otimo otimo, otimo, ok, , , , , ",1,Otimo Otimo,
33,"otimo otimo, otimo, ok, , , , , ",2,Otimo Otimo,
33,"otimo otimo, otimo, ok, , , , , ",3,Otimo Otimo,
34,"10, nota 10, nota, 10 timo, 10 produto, excelente nota, lannister nota, produto nota",1,nota 10,
34,"10, nota 10, nota, 10 timo, 10 produto, excelente nota, lannister nota, produto nota",2,Muito bom nota 10 para am Nota 10,
34,"10, nota 10, nota, 10 timo, 10 produto, excelente nota, lannister nota, produto nota",3,Ótimo Nota 10,
35,"ok super, recomendo ok, recomendo super, super recomendo, ok, super, recomendo, recomendo recomendo",1,Recomendo Tudo OK,
35,"ok super, recomendo ok, recomendo super, super recomendo, ok, super, recomendo, recomendo recomendo",2,Recomendo Tudo ok,
35,"ok super, recomendo ok, recomendo super, super recomendo, ok, super, recomendo, recomendo recomendo",3,Recomendo Tudo ok,
36,", , , , , , , ",1,muito bom,
36,", , , , , , , ",2,muito bom,
36,", , , , , , , ",3,muito bom,
37,"recomendo recomendo, recomendo, normal, , , , , ",1,recomendo,
37,"recomendo recomendo, recomendo, normal, , , , , ",2,recomendo,
37,"recomendo recomendo, recomendo, normal, , , , , ",3,recomendo,
38,"expectativas, atendeu, atendeu expectativas, superou, superou expectativas, esperava, expectativa, esperado",1,Atendeu minhas expectativas,
38,"expectativas, atendeu, atendeu expectativas, superou, superou expectativas, esperava, expectativa, esperado",2,Atendeu as expectativas,
38,"expectativas, atendeu, atendeu expectativas, superou, superou expectativas, esperava, expectativa, esperado",3,Atendeu às expectativas,
39,"site, comprar site, seguro, site super, recomendo site, comprar, timo site, site recomendo",1,Ótimo site.,
39,"site, comprar site, seguro, site super, recomendo site, comprar, timo site, site recomendo",2,Site confiável,
39,"site, comprar site, seguro, site super, recomendo site, comprar, timo site, site recomendo",3,Ótimo site,
40,"empresa, cliente, clientes, parabns, comprometimento, confiana, compromisso, responsvel",1,Muito bom... Empresa séria,
40,"empresa, cliente, clientes, parabns, comprometimento, confiana, compromisso, responsvel",2,Empresa Muito boa,
40,"empresa, cliente, clientes, parabns, comprometimento, confiana, compromisso, responsvel",3,A empresa faz de tudo para agradar o cliente e fez isso com qualidade.,
41,"otimo otimo, otimo, , , , , , ",1,otimo,
41,"otimo otimo, otimo, , , , , , ",2,otimo,
41,"otimo otimo, otimo, , , , , , ",3,otimo,
42,"10, 10 otimo, otimo, ok recebido, 08, recomendo 10, otima, 10 recomendo",1,10,
42,"10, 10 otimo, otimo, ok recebido, 08, recomendo 10, otima, 10 recomendo",2,10,
42,"10, 10 otimo, otimo, ok recebido, 08, recomendo 10, otima, 10 recomendo",3,10,
